"name","Class","Description"
"YOR043W","C","WHI2 growth regulation protein"
"YKL122C","F","SRP21 signal recognition particle subunit"
"YNL124W","U","YNL124w similarity to hypothetical S. pombe protein"
"YOR244W","D","ESA1 histone acetyltransferase"
"YOL086C","M","ADH1 alcohol dehydrogenase I"
"YIL079C","U","YIL079c strong similarity to hypothetical protein YDL175c"
"YKR002W","T","PAP1 poly(A) polymerase"
"YPR181C","O","SEC23 component of COPII coat of ER-golgi vesicles"
"YFL038C","O","YPT1 GTP-binding protein of the rab family"
"YDR381W","T","YRA1 RNA annealing protein"
"YPL004C","U","YPL004c strong similarity to YGR086c"
"YAL003W","P","EFB1 translation elongation factor eEF1beta"
"YGR234W","R","YHB1 flavohemoglobin"
"YOR335C","P","ALA1 alanyl-tRNA synthetase, cytosolic"
"YOL090W","D","MSH2 DNA mismatch repair protein"
"YGL171W","T","ROK1 ATP-dependent RNA helicase"
"YOL004W","B","SIN3 transcription regulatory protein"
"YEL002C","F","WBP1 oligosaccharyl transferase beta subunit precursor"
"YIL061C","T","SNP1 U1 small nuclear ribonucleoprotein"
"YDR036C","U","YDR036c similarity to enoyl CoA hydratase"
"YLR438W","G","CAR2 ornithine aminotransferase"
"YBL026W","T","LSM2 Sm-like (Lsm) protein"
"YJR101W","U","RSM26 weak similarity to superoxide dismutases"
"YKL056C","P","YKL056c strong similarity to human IgE-dependent histamine-releasing factor"
"YOR181W","C","LAS17 component of actin cortical patches"
"YDL220C","D","CDC13 cell division control protein"
"YPR191W","E","QCR2 ubiquinol--cytochrome-c reductase 40KD chain II"
"YLR002C","F","NOC3 required for maturation and intranuclear transport of pre-ribosomes"
"YGL207W","D","SPT16 general chromatin factor"
"YOR340C","T","RPA43 DNA-directed RNA polymerase I, 36 KD subunit"
"YMR012W","P","CLU1 translation initiation factor eIF3 (p135 subunit)"
"YPL217C","T","BMS1 GTP-binding protein, required for distinct steps of 40S ribosome biogenesis"
"YCR046C","P","IMG1 ribosomal protein, mitochondrial"
"YGR240C","E","PFK1 6-phosphofructokinase, alpha subunit"
"YKL193C","D","SDS22 regulatory subunit for the mitotic function of type I protein phosphatase"
"YCR053W","G","THR4 threonine synthase (o-p-homoserine p-lyase)"
"YNL290W","D","RFC3 DNA replication factor C, 40 kDa subunit"
"YGR161C","U","YGR161c hypothetical protein"
"YDL003W","D","MCD1 Mitotic Chromosome Determinant"
"YPL195W","O","APL5 AP-3 complex subunit, gamma-adaptin, 107 KD"
"YLR029C","P","RPL15A 60s large subunit ribosomal protein L15.e.c12"
"YER031C","O","YPT31 GTP-binding protein of the rab family"
"YJL081C","C","ARP4 actin-related protein"
"YGR155W","G","CYS4 cystathionine beta-synthase"
"YKL007W","C","CAP1 F-actin capping protein alpha subunit"
"YMR105C","E","PGM2 phosphoglucomutase, major isoform"
"YGL241W","O","KAP114 Member of the karyopherin-beta family, nuclear import"
"YNL154C","C","YCK2 casein kinase I isoform"
"YNL075W","T","IMP4 component of the U3 small nucleolar ribonucleoprotein"
"YMR116C","P","ASC1 40S small subunit ribosomal protein"
"YJL173C","D","RFA3 DNA replication factor A, 13 KD subunit"
"YDR407C","O","TRS120 TRAPP subunit of 120 kDa involved in targeting and fusion of ER to golgi transport vesicles"
"YGR204W","M","ADE3 C1-tetrahydrofolate synthase (trifunctional enzyme),cytoplasmic"
"YBR254C","O","TRS20 TRAPP subunit of 20 kDa involved in targeting and fusion of ER to golgi transport vesicles"
"YKR085C","P","MRPL20 ribosomal protein YmL20, mitochondrial"
"YPR137W","T","RRP9 protein associated with the U3 small nucleolar RNA, required for pre-ribosomal RNA processing"
"YLR352W","U","YLR352w hypothetical protein"
"YFL024C","U","EPL1 weak similarity to YMR164c and GAL11P"
"YLR258W","E","GSY2 UDP-glucose--starch glucosyltransferase, isoform 2"
"YDR167W","B","TAF25 TFIID and SAGA subunit"
"YGL099W","U","KRE35 similarity to putative human GTP-binding protein MMR1"
"YPL254W","B","HFI1 transcriptional coactivator"
"YPL001W","F","HAT1 histone acetyltransferase subunit"
"YDL134C","C","PPH21 protein ser/thr phosphatase PP2A-1"
"YAL033W","T","POP5 required for processing of tRNAs and rRNAs"
"YHR066W","C","SSF1 mating protein"
"YMR128W","C","ECM16 putative DEAH-box RNA helicase"
"YFR044C","U","YFR044c similarity to hypothetical protein YBR281c"
"YJR022W","T","LSM8 splicing factor"
"YHR170W","T","NMD3 nonsense-mediated mRNA decay protein"
"YOR057W","F","SGT1 suppressor of G2 allele of SKP1"
"YDR472W","O","TRS31 TRAPP subunit of 31 kDa involved in targeting and fusion of ER to golgi transport vesicles"
"YER029C","T","SMB1 associated with U1 snRNP as part of the Sm-core that is common to all spliceosomal snRNPs"
"YPR023C","U","EAF3 similarity to human hypothetical protein"
"YLR288C","D","MEC3 G2-specific checkpoint protein"
"YBL058W","E","SHP1 potential regulatory subunit for GLC7P"
"YBL047C","U","EDE1 similarity to mouse eps15R protein"
"YBR282W","P","MRPL27 ribosomal protein YmL27 precursor, mitochondrial"
"YFL002C","T","SPB4 ATP-dependent RNA helicase of DEAH box family"
"YDR507C","D","GIN4 ser/thr protein kinase"
"YMR139W","D","RIM11 ser/thr protein kinase"
"YMR108W","G","ILV2 acetolactate synthase"
"YER093C","U","YER093c weak similarity to S.epidermidis PepB protein"
"YHR174W","E","ENO2 enolase II (2-phosphoglycerate dehydratase)"
"YER003C","M","PMI40 mannose-6-phosphate isomerase"
"YKR067W","A","GPT2 strong similarity to SCT1P"
"YNL236W","B","SIN4 global regulator protein"
"YPR182W","T","SMX3 snRNA-associated protein of the SM family"
"YOR185C","O","GSP2 GTP-binding protein of the RAS superfamily"
"YJL080C","D","SCP160 required for maintenance of exact ploidy"
"YDR225W","B","HTA1 histone H2A"
"YGR200C","T","ELP2 29 kDa subunit of elongator and elongating RNA polymerase II holoenzyme"
"YBR272C","D","HSM3 mismatch repair protein"
"YMR172W","U","HOT1 similarity to MSN1 protein"
"YCL024W","D","KCC4 kinase coordinate cell cycle progression with the organization of the peripheralcytoskeleton"
"YKR006C","P","MRPL13 ribosomal protein YmL13, mitochondrial"
"YDR311W","T","TFB1 TFIIH subunit (transcription initiation factor), 75 kD"
"YPR190C","T","RPC82 DNA-directed RNA polymerase III, 82 KD subunit"
"YOR368W","D","RAD17 DNA damage checkpoint control protein"
"YIL033C","C","BCY1 cAMP dependent protein kinase, regulatory subunit"
"YAR003W","B","SWD1 similarity to human RB protein binding protein"
"YLR310C","D","CDC25 GDP/GTP exchange factor for RAS1P and RAS2P"
"YDR300C","G","PRO1 glutamate 5-kinase"
"YML091C","T","RPM2 ribonuclease P precursor, mitochondrial"
"YCL014W","C","BUD3 budding protein"
"YDL098C","T","SNU23 Putative RNA binding zinc finger protein"
"YGR292W","M","MAL12 alpha-glucosidase of the MAL1 locus"
"YER162C","D","RAD4 excision repair protein"
"YOR204W","T","DED1 ATP-dependent RNA helicase"
"YER155C","C","BEM2 GTPase-activating protein"
"YDR412W","U","YDR412w similarity to hypothetical protein SPAC29A4.09 - S. pombe"
"YMR158W","U","YMR158w weak similarity to E.coli ribosomal S8 protein"
"YLL011W","T","SOF1 involved in 18S pre-rRNA production"
"YLR293C","O","GSP1 GTP-binding protein of the ras superfamily"
"YFL006W","U","YFL006w similarity to hypothetical protein TRCDSEMBL:AB024034_15 A. thaliana"
"YPL208W","U","YPL208w similarity to YHL039w"
"YLR127C","D","APC2 component of the anaphase promoting complex"
"YKL218C","G","SRY1 strong similarity to E.coli and H.influenzae threonine dehydratases"
"YBR200W","C","BEM1 bud emergence mediator"
"YNL085W",NA,NA
"YIL070C",NA,NA
"YJL006C","B","CTK2 carboxy-terminal domain (CTD) kinase, beta subunit"
"YAL012W","G","CYS3 cystathionine gamma-lyase"
"YHR196W","U","YHR196w weak similarity to YDR398w"
"YGR150C","U","YGR150c similarity to PIR:T39838 hypothetical protein SPBC19G7.07c S. pombe"
"YJR043C","D","POL32 polymerase-associated gene, third (55 kDa) subunit of DNA polymerase delta"
"YOR202W","G","HIS3 imidazoleglycerol-phosphate dehydratase"
"YPL074W","F","YTA6 similarity to VPS4P and YER047c"
"YGL150C","T","INO80 similarity to SNF2P and human SNF2alpha"
"YML109W","D","ZDS2 multicopy suppressor of SIN4"
"YFR021W","U","AUT10 similarity to hypothetical protein YPL100w"
"YOR035C","C","SHE4 required for mother cell-specific gene expression"
"YPL013C","P","YPL013c strong similarity to N.crassa mitochondrial ribosomal protein S24"
"YOR145C","U","YOR145c strong similarity to hypothtical S. pombe protein and to hypothetical C. elegans protein"
"YBR103W","D","SIF2 SIR4P interacting protein"
"YDR427W","F","RPN9 subunit of the regulatory particle of the proteasome"
"YLL018C","P","DPS1 aspartyl-tRNA synthetase, cytosolic"
"YBR025C","U","YBR025c strong similarity to Ylf1p"
"YMR095C","R","SNO1 similarity to M.leprae hisH protein"
"YLR200W","F","YKE2 Gim complex component"
"YHR114W","U","BZZ1 similarity to S.pombe hypothetical protein and human protein-tyrosine kinase fer"
"YHR169W","T","DBP8 strong similarity to DRS1P and other probable ATP-dependent RNA helicases"
"YBL066C","B","SEF1 putative transcription factor"
"YIR002C","D","MPH1 protection of the genome from spontaneous and chemically induced damage"
"YCL009C","G","ILV6 acetolactate synthase, regulatory subunit"
"YKL019W","F","RAM2 protein farnesyltransferase, alpha subunit"
"YOR329C","O","SCD5 suppressor of clathrin deficiency"
"YDL132W","F","CDC53 controls G1/S transition"
"YLR113W","A","HOG1 ser/thr protein kinase of MAP kinase (MAPK) family"
"YDL108W","D","KIN28 cyclin-dependent ser/thr protein kinase"
"YNL138W","C","SRV2 adenylate cyclase-associated protein, 70kDa"
"YOL010W","T","RCL1 similarity to human RNA 3'-terminal phosphate cyclase"
"YAL023C","F","PMT2 mannosyltransferase"
"YPL086C","D","ELP3 subunit of elongator/RNAPII holoenzyme with histone acetylase activity"
"YBR136W","D","MEC1 cell cycle checkpoint protein"
"YGL130W","T","CEG1 mRNA guanylyltransferase (mRNA capping enzyme, alpha subunit)"
"YMR303C","E","ADH2 alcohol dehydrogenase II"
"YKL099C","U","YKL099c similarity to C.elegans hypothetical proteins C18G6.06 and C16C10.2"
"YDR386W","D","MUS81 involved in the repair of UV and methylation induced DNA damage"
"YDL042C","D","SIR2 silencing regulatory protein and DNA-repair protein"
"YMR268C","T","PRP24 pre-mRNA splicing factor"
"YOR106W","O","VAM3 syntaxin (t-SNARE)"
"YHR059W","U","FYV4 weak similarity to Ustilago hordei B east mating protein 2"
"YER092W","U","IES5 weak similarity to tryptophan synthase beta subunit - Aquifex aeolicus"
"YHR085W","U","YHR085w weak similarity to fruit fly brahma transcriptional activator"
"YPL258C","U","THI21 similarity to B.subtilis transcriptional activator tenA, and strong similarity to hypothetical proteins YOL055c and YPR121w"
"YHR086W","T","NAM8 meiotic recombination protein"
"YBR109C","D","CMD1 calmodulin"
"YKL060C","E","FBA1 fructose-bisphosphate aldolase"
"YBL039C","M","URA7 CTP synthase 1"
"YCL059C",NA,NA
"YOR276W","P","CAF20 mRNA CAP-binding protein (eIF4F), 20K subunit"
"YHR119W","C","SET1 involved in chromatin-mediated gene regulation"
"YDL195W","O","SEC31 component of the COPII coat of ER-golgi vesicles"
"YEL055C","U","POL5 DNA polymerase V"
"YLL034C","U","YLL034c similarity to mammalian valosin"
"YDR502C","G","SAM2 S-adenosylmethionine synthetase 2"
"YIL136W",NA,NA
"YBR143C","P","SUP45 translational release factor"
"YDR074W","M","TPS2 alpha,alpha-trehalose-phosphate synthase, 102 KD subunit"
"YNL112W","T","DBP2 ATP-dependent RNA helicase of DEAD box family"
"YAL027W","U","YAL027w hypothetical protein"
"YIL063C","O","YRB2 involved in nuclear protein export"
"YOR110W","T","TFC7 TFIIIC (transcription initiation factor) subunit, 55 kDa"
"YLR371W","C","ROM2 GDP/GTP exchange factor for RHO1P"
"YLR212C","D","TUB4 gamma tubulin"
"YLR229C","C","CDC42 GTP-binding protein of RAS superfamily"
"YOL139C","P","CDC33 translation initiation factor eIF4E"
"YDR130C","D","FIN1 weak similarity to sea urchin myosin heavy chain"
"YNL189W","O","SRP1 karyopherin-alpha or importin"
"YOL006C","D","TOP1 DNA topoisomerase I"
"YNL139C","T","RLR1 regulatory protein"
"YCR020C-A",NA,NA
"YML069W","D","POB3 protein that binds to DNA polymerase I (PolI)"
"YER089C","U","PTC2 protein serine/threonine phosphatase of the PP2C family"
"YBL003C","B","HTA2 histone H2A.2"
"YGL092W","O","NUP145 nuclear pore protein"
"YML032C","D","RAD52 recombination and DNA repair protein"
"YOR370C","F","MRS6 geranylgeranyltransferase regulatory subunit"
"YIL126W","D","STH1 subunit of the RSC complex"
"YOR323C","G","PRO2 gamma-glutamyl phosphate reductase"
"YDL175C","U","YDL175c weak similarity to cellular nucleic acid binding proteins"
"YHR030C","R","SLT2 ser/thr protein kinase of MAP kinase family"
"YLR106C","U","YLR106c similarity to Kaposi's sarcoma-associated herpes-like virus ORF73 homolog gene"
"YDR395W","O","SXM1 putative beta-karyopherin"
"YNL016W","T","PUB1 major polyadenylated RNA-binding protein of nucleus and cytoplasm"
"YMR229C","T","RRP5 processing of pre-ribosomal RNA"
"YML095C","D","RAD10 DNA repair protein"
"YLR304C","E","ACO1 aconitate hydratase"
"YHR041C","T","SRB2 DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit"
"YGR270W","F","YTA7 26S proteasome subunit"
"YNL311C","U","YNL311c hypothetical protein"
"YBR133C","D","HSL7 adapter in a regulatory pathway that relieves tyrosine phosphorylation of CDC28"
"YBR017C","O","KAP104 beta-karyopherin"
"YAR014C","U","BUD14 similarity to hypothetical protein  S.pombe"
"YHL011C","F","PRS3 ribose-phosphate pyrophosphokinase"
"YHR023W","O","MYO1 myosin-1 isoform (type II myosin) heavy chain"
"YDR049W","U","YDR049w similarity to C.elegans K06H7.3 protein"
"YDR021W","T","FAL1 involved in maturation of 18S rRNA"
"YLR097C","U","YLR097c weak similarity to H. sapiens F-box protein"
"YNL312W","D","RFA2 DNA replication factor A, 36 kDa subunit"
"YBL090W","P","MRP21 Mitochondrial ribosomal protein"
"YDL070W","B","BDF2 similarity to bromodomain protein BDF1P"
"YBL007C","C","SLA1 cytoskeleton assembly control protein"
"YFL045C","M","SEC53 phosphomannomutase"
"YLR186W","U","EMG1 strong similarity to S.pombe hypothetical protein C18G6.07C"
"YJR104C","R","SOD1 copper-zinc superoxide dismutase"
"YOR144C","U","EFD1 weak similarity to human DNA-binding protein PO-GA and to bacterial H+-transporting ATP synthases"
"YDL077C","F","VAM6 vacuolar carboxypeptidase Y"
"YNL135C","F","FPR1 peptidyl-prolyl cis-trans isomerase, FK506-binding protein"
"YGR040W","C","KSS1 ser/thr protein kinase of the MAP kinase family"
"YAR002W","O","NUP60 nuclear pore protein"
"YPL153C","D","RAD53 ser/thr/tyr protein kinase"
"YAL025C","D","MAK16 nuclear viral propagation protein"
"YER008C","O","SEC3 component of exocyst complex"
"YGL187C","E","COX4 cytochrome-c oxidase chain IV"
"YLR398C","R","SKI2 antiviral protein and putative helicase"
"YMR223W","F","UBP8 similarity to mouse deubiquitinating enzyme and UBP13P,UBP9,DOA4P"
"YDR480W","C","DIG2 MAP kinase-associated protein, down-regulator of invasive growth and mating"
"YPR103W","F","PRE2 20S proteasome subunit (beta5)"
"YGL058W","F","RAD6 E2 ubiquitin-conjugating enzyme"
"YPL009C","U","YPL009c similarity to M.jannaschii hypothetical protein"
"YMR025W","U","YMR025w hypothetical protein"
"YNR054C","U","YNR054c similarity to C.elegans hypothetical protein CEESL47F"
"YNL088W","D","TOP2 DNA topoisomerase II (ATP-hydrolysing)"
"YDR071C","U","YDR071c similarity to O.aries arylalkylamine N-acetyltransferase"
"YJR090C","O","GRR1 required for glucose repression and for glucose and cation transport"
"YMR093W","U","YMR093w weak similarity to PWP2P"
"YGL008C","A","PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane"
"YER127W","T","LCP5 NGG1P interacting protein"
"YEL060C","F","PRB1 protease B, vacuolar"
"YHR147C","P","MRPL6 ribosomal protein of the large subunit, mitochondrial"
"YIL046W","F","MET30 involved in regulation of sulfur assimilation genes and cell cycle progression"
"YIL068C","O","SEC6 protein transport protein"
"YJR068W","D","RFC2 DNA replication factor C, 41 KD subunit"
"YGL127C","B","SOH1 allows HPR1 null mutant to grow at 37 deg."
"YPL193W","P","RSA1 nucleoplasmic protein involved in assembly of 60S ribosomal subunits"
"YGL198W","U","YGL198w weak similarity to YIP1P"
"YDL167C","U","NRP1 similarity to human TAF2N Zinc finger TBP-associated factor N, component of the TFIID complex"
"YCR086W","D","CSM1 involved in nuclear migration"
"YGR268C","U","YGR268c weak similarity to S.pombe hypothetical protein SPAC17A5"
"YDR256C","R","CTA1 catalase A, peroxisomal"
"YHR111W","M","YHR111w similarity to molybdopterin biosynthesis proteins"
"YPR047W","P","MSF1 phenylalanine--tRNA ligase alpha chain, mitochondrial"
"YFL023W","U","FYV11 similarity to repeat structures in a Plasmodium falciparum protein (MESA) that binds human erythrocyte protein 4.1."
"YDL239C","U","ADY3 hypothetical protein"
"YDL100C","R","YDL100c similarity to E.coli arsenical pump-driving ATPase"
"YDL226C","O","GCS1 ADP-ribosylation factor GTPase-activating protein (ARF-GAP)"
"YDR439W","B","LRS4 involved in rDNA silencing"
"YNL081C","P","YNL081c similarity to ribosomal protein S13"
"YDR450W","P","RPS18A ribosomal protein S18.e.c4"
"YPR105C","U","COD1 similarity to hypothetical protein SPCC338.13 S. pombe"
"YCR031C","P","RPS14A 40S Ribosomal protein S14.e"
"YJR123W","P","RPS5 ribosomal protein S5.e"
"YNR036C","P","YNR036c strong similarity to ribosomal protein S12"
"YPR132W","P","RPS23B 40S small subunit ribosomal protein S23.e"
"YOR063W","P","RPL3 60S large subunit ribosomal protein L3.e"
"YPL131W","P","RPL5 60S large subunit ribosomal protein L5.e"
"YGL147C","P","RPL9A ribosomal protein L9.e"
"YNL067W","P","RPL9B ribosomal protein L9.e.c14"
"YLR367W","P","RPS22B ribosomal protein S15a.e.c12"
"YOR269W","U","PAC1 similarity to human LIS-1 protein"
"YJL190C","P","RPS22A ribosomal protein S15a.e.c10"
"YDR012W","P","RPL4B ribosomal protein L4.e.B"
"YIL018W","P","RPL2B 60S large subunit ribosomal protein L8.e"
"YDR025W","P","RPS11A ribosomal protein S11.e"
"YNL177C","U","YNL177c similarity to hypothetical protein S. pombe"
"YGL103W","P","RPL28 60S large subunit ribosomal protein L27a.e"
"YLR344W","P","RPL26A 60S large subunit ribosomal protein"
"YGR085C","P","RPL11B ribosomal protein"
"YJL177W","P","RPL17B 60s large subunit ribosomal protein L17.e"
"YPR102C","P","RPL11A ribosomal protein L11.e"
"YNL178W","P","RPS3 ribosomal protein S3.e"
"YKL180W","P","RPL17A ribosomal protein L17.e"
"YBR031W","P","RPL4A ribosomal protein"
"YER117W","P","RPL23B ribosomal protein L23.e"
"YBL087C","P","RPL23A 60S large subunit ribosomal protein L23.e"
"YJR049C","A","UTR1 associated with ferric reductase activity"
"YHL006C","U","SHU1 hypothetical protein"
"YNL152W","U","YNL152w similarity to hypothetical protein S. pombe"
"YBR048W","P","RPS11B ribosomal protein S11.e.B"
"YBR283C","F","SSH1 involved in co-translational pathway of protein transport"
"YLR378C","O","SEC61 ER protein-translocation complex subunit"
"YOR385W","U","YOR385w strong similarity to hypothetical protein YMR316w"
"YOR036W","O","PEP12 syntaxin (T-SNARE), vacuolar"
"YMR217W","M","GUA1 GMP synthase (glutamine-hydrolyzing)"
"YDL061C","P","RPS29B ribosomal protein S29.e.B"
"YDR237W","P","MRPL7 ribosomal protein of the large subunit, mitochondrial"
"YPR166C","P","MRP2 ribosomal protein S14"
"YOR167C","P","RPS28A 40S small subunit ribosomal protein S28.e.c15"
"YLR388W","P","RPS29A ribosomal protein S29.e.A"
"YDR418W","P","RPL12B 60S large subunit ribosomal protein L12.e"
"YDL161W","O","ENT1 clathrin binding protein, required for endocytosis"
"YPL198W","P","RPL7B 60S large subunit ribosomal protein"
"YFR043C","U","YFR043c hypothetical protein"
"YML010W","T","SPT5 transcription elongation protein"
"YML064C","D","TEM1 GTP-binding protein of the RAS superfamily"
"YJL036W","F","SNX4 weak similarity to MVP1P"
"YLR075W","P","RPL10 60S large subunit ribosomal protein"
"YJL191W","P","RPS14B 40S small subunit ribosomal protein S14.e.B"
"YLR245C","M","CDD1 cytidine deaminase"
"YOR047C","B","STD1 dosage-dependent modulator of glucose repression"
"YPL220W","P","RPL1A ribosomal protein"
"YDR084C","U","YDR084c similarity to hypothetical C.elegans protein"
"YNR033W","M","ABZ1 para-aminobenzoate synthase"
"YGL135W","P","RPL1B 60S large subunit ribosomal protein"
"YNL329C","F","PEX6 peroxisomal assembly protein"
"YKL003C","P","MRP17 ribosomal protein of the small subunit, mitochondrial"
"YLR060W","P","FRS1 phenylalanyl-tRNA synthetase, alpha subunit, cytosolic"
"YHR060W","F","VMA22 vacuolar ATPase assembly protein"
"YML031W","D","NDC1 nuclear envelope protein"
"YHR121W","U","YHR121w weak similarity to C.elegans hypothetical protein"
"YEL043W","U","YEL043w weak similarity to MAD1P"
"YMR286W","P","MRPL33 ribosomal protein of the large subunit, mitochondrial"
"YNL306W","P","MRPS18 ribosomal protein of the small subunit, mitochondrial"
"YEL015W","U","YEL015w weak similarity to SPA2P"
"YBR039W","E","ATP3 F1F0-ATPase complex, F1 gamma subunit"
"YGL061C","D","DUO1 essential mitotic spindle protein"
"YGL076C","P","RPL7A 60S large subunit ribosomal protein L7.e.A"
"YNL200C","U","YNL200c strong similarity to human TGR-CL10C"
"YGR171C","P","MSM1 methionyl-tRNA synthetase"
"YBR153W","M","RIB7 HTP reductase"
"YJL045W","M","YJL045w strong similarity to succinate dehydrogenase flavoprotein"
"YJR051W","R","OSM1 osmotic growth protein"
"YLL041C","E","SDH2 succinate dehydrogenase iron-sulfur protein subunit"
"YDL004W","E","ATP16 F1F0-ATPase complex, F1 delta subunit"
"YKL148C","E","SDH1 succinate dehydrogenase flavoprotein precursor"
"YDR510W","F","SMT3 ubiquitin-like protein"
"YFL059W","R","SNZ3 strong similarity to Para rubber tree ethylene-responsive protein1"
"YDL202W","P","MRPL11 ribosomal protein of the large subunit, mitochondrial"
"YPL255W","C","BBP1 cell division control protein"
"YGR010W","U","YGR010w strong similarity to hypothetical protein YLR328w"
"Q0085","E","ATP6 F1F0-ATPase complex, FO A subunit"
"YDR142C","O","PEX7 peroxisomal import protein - peroxin"
"YHR026W","A","PPA1 H+-ATPase 23 KD subunit, vacuolar"
"YMR118C","E","YMR118c strong similarity to succinate dehydrogenase"
"YPR004C","E","YPR004c strong similarity to electron transfer flavoproteins alpha chain"
"YPR046W","D","MCM16 involved in chromosome segregation"
"YDR115W","P","YDR115w similarity to bacterial ribosomal L34 proteins"
"YGL153W","F","PEX14 peroxisomal protein involved in protein import - peroxin"
"YDR242W","M","AMD2 amidase"
"YBL080C","P","PET112 required to maintain rho+ mitochondrial DNA"
"YHL018W","M","YHL018w similarity to human pterin-4-alpha-carbinolamine dehydratase"
"YKL141W","E","SDH3 cytochrome b560 subunit of respiratory complex II"
"Q0105","E","COB ubiquinol-cytochrome-c reductase subunit (cytochrome B)"
"YKL192C","M","ACP1 mitochonrial acyl-carrier protein"
"YDR259C","B","YAP6 transcription factor, of a fungal-specific family of bzip proteins"
"YMR267W","E","PPA2 inorganic pyrophosphatase, mitochondrial"
"YDR007W","G","TRP1 phosphoribosylanthranilate isomerase"
"YDR148C","E","KGD2 2-oxoglutarate dehydrogenase complex E2 component"
"YER144C","F","UBP5 ubiquitin-specific protease"
"YNL258C","U","YNL258c hypothetical protein"
"YBR002C","F","RER2 cis-prenyltransferase, a key enzyme in dolichol synthesis"
"YMR101C","M","SRT1 cis-prenyltransferase homologue"
"YGL221C","T","NIF3 NGG1P-interacting factor 3"
"YLL049W","U","YLL049w hypothetical protein"
"YOR111W","U","YOR111w weak similarity to B.subtilis maf protein"
"YIL105C","T","YIL105c weak similarity to probable transcription factor ASK10P"
"YDL193W","U","YDL193w similarity to N.crassa hypothetical 32 kDa protein"
"YBR072W","R","HSP26 heat shock protein"
"YPL124W","O","NIP29 nuclear import protein"
"YDR013W","U","YDR013w similarity to human hypothetical KIAA0186 protein"
"YOR128C","M","ADE2 phosphoribosylaminoimidazole carboxylase"
"YHR038W","P","FIL1 Killed in Mutagen, sensitive to Diepoxybutane and/or Mitomycin C"
"YLR115W","T","CFT2 cleavage and polyadenylation specificity factor, part of CF II"
"YCL018W","G","LEU2 beta-isopropyl-malate dehydrogenase"
"YJL130C","M","URA2 multifunctional pyrimidine biosynthesis protein"
"YDR174W",NA,NA
"YOR155C","U","YOR155c similarity to 5'-flanking region of the Pichia MOX gene"
"YAL043C","T","PTA1 pre-tRNA processing protein / PF I subunit"
"YER061C","E","CEM1 beta-keto-acyl-ACP synthase, mitochondrial"
"YCR082W","U","YCR082w weak similarity to RBK1P"
"YCR028C-A","D","RIM1 ssDNA-binding protein, mitochondrial"
"YOR212W","C","STE4 GTP-binding protein beta subunit of the pheromone pathway"
"YIL020C","G","HIS6 5' Pro-FAR isomerase"
"YOR303W","G","CPA1 arginine-specific carbamoylphosphate synthase, small chain"
"YJL039C","O","NUP192 nucleoporin localize at the inner site of the nuclear membrane"
"YOR020C","F","HSP10 chaperonin, mitochondrial"
"YIL066C","D","RNR3 ribonucleotide reductase, repair inducible large subunit"
"YPL231W","M","FAS2 fatty-acyl-CoA synthase, alpha chain"
"YGR180C","M","RNR4 ribonucleotide reductase small subunit"
"YEL005C","U","VAB2 VAC8P binding protein of 31 kDa"
"YKL008C","C","LAC1 protein required with LAG1P for ER-to-Golgi transport of GPI-anchored proteins"
"YKL130C","C","SHE2 required for mother cell-specific expression of HO"
"YLR424W","U","YLR424w weak similarity to STU1P"
"YBL099W","E","ATP1 F1F0-ATPase complex, F1 alpha subunit"
"YHR163W","T","SOL3 possible 6-phosphogluconolactonase"
"YEL027W","O","CUP5 H+-ATPase V0 domain 17 KD subunit, vacuolar"
"YJL093C","A","TOK1 outward-rectifier potassium channel"
"YCR036W","M","RBK1 ribokinase"
"YOR284W","U","YOR284w weak similarity to M.jannaschii hypothetical protein MJ0694"
"YNL063W","U","YNL063w weak similarity to Mycoplasma protoporphyrinogen oxidase"
"YKL018W","U","SWD2 similarity to C.elegans hypothetical protein"
"YGR248W","T","SOL4 strong similarity to SOL3P"
"Q0130","E","OLI1 F1F0-ATPase complex, F0 subunit 9"
"YGL143C","P","MRF1 peptide chain release factor, mitochondrial"
"YNL317W","T","PFS2 polyadenylation factor I subunit 2 required for mRNA 3'-end processing, bridges two mRNA 3'-end processing factors"
"YCR073W-A","T","SOL2 multicopy suppressor of LOS1-1"
"YNR034W","T","SOL1 multicopy suppressor of LOS1-1"
"YGR156W","U","PTI1 weak similarity to PIR:A40220 cleavage stimulation factor 64K chain - human"
"YML125C","E","YML125c strong similarity to cytochrome-b5- and nitrate reductases"
"YMR260C","P","TIF11 translation initiation factor eIF1a"
"YDR487C","M","RIB3 3,4-dihydroxy-2-butanone 4-phosphate synthase"
"YDL139C","U","SCM3 hypothetical protein"
"YKL024C","M","URA6 uridine-monophosphate kinase"
"YDR429C","P","TIF35 translation initiation factor eIF3 (p33 subunit)"
"YHR148W","T","IMP3 component of the U3 small nucleolar ribonucleoprotein"
"YDR408C","M","ADE8 phosphoribosylglycinamide formyltransferase (GART)"
"YDR376W","M","ARH1 mitochondrial protein with similarity to human adrenodoxin reductase and ferredoxin-NADP+ reductase"
"Q0045","E","COX1 cytochrome-c oxidase subunit I"
"YDR226W","M","ADK1 adenylate kinase, cytosolic"
"YBR189W","P","RPS9B ribosomal protein S9.e.B"
"YKL173W","P","SNU114 U5 snRNP-specific protein"
