"char1","char2","loc","ep"
"Jabba","R2D2","JabbasPalace","VI"
"Jabba","Han","JabbasPalace","VI"
"Jabba","Oola","JabbasPalace","VI"
"Luke","BibFortuna","JabbasPalace","VI"
"Luke","C3PO","JabbasPalace","VI"
"Luke","R2D2","JabbasPalace","VI"
"Luke","Han","JabbasPalace","VI"
"Luke","Oola","JabbasPalace","VI"
"BibFortuna","C3PO","JabbasPalace","VI"
"BibFortuna","R2D2","JabbasPalace","VI"
"BibFortuna","Han","JabbasPalace","VI"
"BibFortuna","Oola","JabbasPalace","VI"
"C3PO","R2D2","JabbasPalace","VI"
"C3PO","Han","JabbasPalace","VI"
"C3PO","Oola","JabbasPalace","VI"
"R2D2","Han","JabbasPalace","VI"
"R2D2","Oola","JabbasPalace","VI"
"Han","Oola","JabbasPalace","VI"
"C3PO","R2D2","JabbasPalace","VI"
"C3PO","DroidBoss","JabbasPalace","VI"
"R2D2","DroidBoss","JabbasPalace","VI"
"BobaFett","Lando","JabbasPalace","VI"
"BobaFett","C3PO","JabbasPalace","VI"
"BobaFett","Oola","JabbasPalace","VI"
"BobaFett","Jabba","JabbasPalace","VI"
"BobaFett","Leia","JabbasPalace","VI"
"BobaFett","BibFortuna","JabbasPalace","VI"
"BobaFett","Chewie","JabbasPalace","VI"
"Lando","C3PO","JabbasPalace","VI"
"Lando","Oola","JabbasPalace","VI"
"Lando","Jabba","JabbasPalace","VI"
"Lando","Leia","JabbasPalace","VI"
"Lando","BibFortuna","JabbasPalace","VI"
"Lando","Chewie","JabbasPalace","VI"
"C3PO","Oola","JabbasPalace","VI"
"C3PO","Jabba","JabbasPalace","VI"
"C3PO","Leia","JabbasPalace","VI"
"C3PO","BibFortuna","JabbasPalace","VI"
"C3PO","Chewie","JabbasPalace","VI"
"Oola","Jabba","JabbasPalace","VI"
"Oola","Leia","JabbasPalace","VI"
"Oola","BibFortuna","JabbasPalace","VI"
"Oola","Chewie","JabbasPalace","VI"
"Jabba","Leia","JabbasPalace","VI"
"Jabba","BibFortuna","JabbasPalace","VI"
"Jabba","Chewie","JabbasPalace","VI"
"Leia","BibFortuna","JabbasPalace","VI"
"Leia","Chewie","JabbasPalace","VI"
"BibFortuna","Chewie","JabbasPalace","VI"
"C3PO","BibFortuna","JabbasPalace","VI"
"C3PO","Jabba","JabbasPalace","VI"
"C3PO","Han","JabbasPalace","VI"
"C3PO","Leia","JabbasPalace","VI"
"C3PO","Lando","JabbasPalace","VI"
"BibFortuna","Jabba","JabbasPalace","VI"
"BibFortuna","Han","JabbasPalace","VI"
"BibFortuna","Leia","JabbasPalace","VI"
"BibFortuna","Lando","JabbasPalace","VI"
"Jabba","Han","JabbasPalace","VI"
"Jabba","Leia","JabbasPalace","VI"
"Jabba","Lando","JabbasPalace","VI"
"Han","Leia","JabbasPalace","VI"
"Han","Lando","JabbasPalace","VI"
"Leia","Lando","JabbasPalace","VI"
"Han","Chewie","JabbasPalace","VI"
"Jabba","Leia","JabbasPalace","VI"
"Jabba","Lando","JabbasPalace","VI"
"Jabba","BibFortuna","JabbasPalace","VI"
"Jabba","Luke","JabbasPalace","VI"
"Jabba","C3PO","JabbasPalace","VI"
"Jabba","Han","JabbasPalace","VI"
"Jabba","Chewie","JabbasPalace","VI"
"Leia","Lando","JabbasPalace","VI"
"Leia","BibFortuna","JabbasPalace","VI"
"Leia","Luke","JabbasPalace","VI"
"Leia","C3PO","JabbasPalace","VI"
"Leia","Han","JabbasPalace","VI"
"Leia","Chewie","JabbasPalace","VI"
"Lando","BibFortuna","JabbasPalace","VI"
"Lando","Luke","JabbasPalace","VI"
"Lando","C3PO","JabbasPalace","VI"
"Lando","Han","JabbasPalace","VI"
"Lando","Chewie","JabbasPalace","VI"
"BibFortuna","Luke","JabbasPalace","VI"
"BibFortuna","C3PO","JabbasPalace","VI"
"BibFortuna","Han","JabbasPalace","VI"
"BibFortuna","Chewie","JabbasPalace","VI"
"Luke","C3PO","JabbasPalace","VI"
"Luke","Han","JabbasPalace","VI"
"Luke","Chewie","JabbasPalace","VI"
"C3PO","Han","JabbasPalace","VI"
"C3PO","Chewie","JabbasPalace","VI"
"Han","Chewie","JabbasPalace","VI"
"Jabba","C3PO","Tatooine","VI"
"Jabba","Chewie","Tatooine","VI"
"Jabba","Han","Tatooine","VI"
"Jabba","Leia","Tatooine","VI"
"Jabba","Luke","Tatooine","VI"
"C3PO","Chewie","Tatooine","VI"
"C3PO","Han","Tatooine","VI"
"C3PO","Leia","Tatooine","VI"
"C3PO","Luke","Tatooine","VI"
"Chewie","Han","Tatooine","VI"
"Chewie","Leia","Tatooine","VI"
"Chewie","Luke","Tatooine","VI"
"Han","Leia","Tatooine","VI"
"Han","Luke","Tatooine","VI"
"Leia","Luke","Tatooine","VI"
"R2D2","C3PO","Tatooine","VI"
"R2D2","Jabba","Tatooine","VI"
"R2D2","Leia","Tatooine","VI"
"C3PO","Jabba","Tatooine","VI"
"C3PO","Leia","Tatooine","VI"
"Jabba","Leia","Tatooine","VI"
"Han","Luke","Tatooine","VI"
"Han","Lando","Tatooine","VI"
"Han","Chewie","Tatooine","VI"
"Luke","Lando","Tatooine","VI"
"Luke","Chewie","Tatooine","VI"
"Lando","Chewie","Tatooine","VI"
"Lando","Chewie","Tatooine","VI"
"Lando","Han","Tatooine","VI"
"Lando","BobaFett","Tatooine","VI"
"Lando","Luke","Tatooine","VI"
"Lando","Jabba","Tatooine","VI"
"Lando","C3PO","Tatooine","VI"
"Lando","R2D2","Tatooine","VI"
"Lando","Leia","Tatooine","VI"
"Chewie","Han","Tatooine","VI"
"Chewie","BobaFett","Tatooine","VI"
"Chewie","Luke","Tatooine","VI"
"Chewie","Jabba","Tatooine","VI"
"Chewie","C3PO","Tatooine","VI"
"Chewie","R2D2","Tatooine","VI"
"Chewie","Leia","Tatooine","VI"
"Han","BobaFett","Tatooine","VI"
"Han","Luke","Tatooine","VI"
"Han","Jabba","Tatooine","VI"
"Han","C3PO","Tatooine","VI"
"Han","R2D2","Tatooine","VI"
"Han","Leia","Tatooine","VI"
"BobaFett","Luke","Tatooine","VI"
"BobaFett","Jabba","Tatooine","VI"
"BobaFett","C3PO","Tatooine","VI"
"BobaFett","R2D2","Tatooine","VI"
"BobaFett","Leia","Tatooine","VI"
"Luke","Jabba","Tatooine","VI"
"Luke","C3PO","Tatooine","VI"
"Luke","R2D2","Tatooine","VI"
"Luke","Leia","Tatooine","VI"
"Jabba","C3PO","Tatooine","VI"
"Jabba","R2D2","Tatooine","VI"
"Jabba","Leia","Tatooine","VI"
"C3PO","R2D2","Tatooine","VI"
"C3PO","Leia","Tatooine","VI"
"R2D2","Leia","Tatooine","VI"
"R2D2","Luke","space","VI"
"R2D2","Han","space","VI"
"R2D2","Leia","space","VI"
"Luke","Han","space","VI"
"Luke","Leia","space","VI"
"Han","Leia","space","VI"
"Emperor","Vader","DeathStar","VI"
"Luke","Yoda","Dagobah","VI"
"Luke","Obiwan","Dagobah","VI"
"Luke","R2D2","Dagobah","VI"
"Obiwan","R2D2","Dagobah","VI"
"C3PO","R2D2","ship","VI"
"C3PO","Madine","ship","VI"
"C3PO","Ackbar","ship","VI"
"C3PO","MonMothma","ship","VI"
"C3PO","Han","ship","VI"
"C3PO","Chewie","ship","VI"
"C3PO","Luke","ship","VI"
"C3PO","Leia","ship","VI"
"C3PO","Lando","ship","VI"
"R2D2","Madine","ship","VI"
"R2D2","Ackbar","ship","VI"
"R2D2","MonMothma","ship","VI"
"R2D2","Han","ship","VI"
"R2D2","Chewie","ship","VI"
"R2D2","Luke","ship","VI"
"R2D2","Leia","ship","VI"
"R2D2","Lando","ship","VI"
"Madine","Ackbar","ship","VI"
"Madine","MonMothma","ship","VI"
"Madine","Han","ship","VI"
"Madine","Chewie","ship","VI"
"Madine","Luke","ship","VI"
"Madine","Leia","ship","VI"
"Madine","Lando","ship","VI"
"Ackbar","MonMothma","ship","VI"
"Ackbar","Han","ship","VI"
"Ackbar","Chewie","ship","VI"
"Ackbar","Luke","ship","VI"
"Ackbar","Leia","ship","VI"
"Ackbar","Lando","ship","VI"
"MonMothma","Han","ship","VI"
"MonMothma","Chewie","ship","VI"
"MonMothma","Luke","ship","VI"
"MonMothma","Leia","ship","VI"
"MonMothma","Lando","ship","VI"
"Han","Chewie","ship","VI"
"Han","Luke","ship","VI"
"Han","Leia","ship","VI"
"Han","Lando","ship","VI"
"Chewie","Luke","ship","VI"
"Chewie","Leia","ship","VI"
"Chewie","Lando","ship","VI"
"Luke","Leia","ship","VI"
"Luke","Lando","ship","VI"
"Leia","Lando","ship","VI"
"Han","Lando","ship","VI"
"Han","Luke","ship","VI"
"Han","Leia","ship","VI"
"Han","Chewie","ship","VI"
"Han","R2D2","ship","VI"
"Han","C3PO","ship","VI"
"Luke","Leia","ship","VI"
"Luke","Chewie","ship","VI"
"Luke","R2D2","ship","VI"
"Luke","C3PO","ship","VI"
"Leia","Chewie","ship","VI"
"Leia","R2D2","ship","VI"
"Leia","C3PO","ship","VI"
"Chewie","R2D2","ship","VI"
"Chewie","C3PO","ship","VI"
"R2D2","C3PO","ship","VI"
"Emperor","Vader","DeathStar","VI"
"Chewie","Han","ship","VI"
"Chewie","Leia","ship","VI"
"Chewie","Piett","ship","VI"
"Chewie","Vader","ship","VI"
"Chewie","Luke","ship","VI"
"Han","Leia","ship","VI"
"Han","Piett","ship","VI"
"Han","Vader","ship","VI"
"Han","Luke","ship","VI"
"Leia","Piett","ship","VI"
"Leia","Vader","ship","VI"
"Leia","Luke","ship","VI"
"Piett","Vader","ship","VI"
"Piett","Luke","ship","VI"
"Vader","Luke","ship","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Leia","Endor","VI"
"C3PO","Luke","Endor","VI"
"C3PO","Han","Endor","VI"
"C3PO","Chewie","Endor","VI"
"R2D2","Leia","Endor","VI"
"R2D2","Luke","Endor","VI"
"R2D2","Han","Endor","VI"
"R2D2","Chewie","Endor","VI"
"Leia","Luke","Endor","VI"
"Leia","Han","Endor","VI"
"Leia","Chewie","Endor","VI"
"Luke","Han","Endor","VI"
"Luke","Chewie","Endor","VI"
"Han","Chewie","Endor","VI"
"Leia","Luke","Endor","VI"
"R2D2","C3PO","Endor","VI"
"R2D2","Luke","Endor","VI"
"R2D2","Han","Endor","VI"
"C3PO","Luke","Endor","VI"
"C3PO","Han","Endor","VI"
"Luke","Han","Endor","VI"
"Leia","Wicket","Endor","VI"
"Emperor","Vader","DeathStar","VI"
"Chewie","Han","Endor","VI"
"Chewie","Luke","Endor","VI"
"Chewie","C3PO","Endor","VI"
"Chewie","R2D2","Endor","VI"
"Han","Luke","Endor","VI"
"Han","C3PO","Endor","VI"
"Han","R2D2","Endor","VI"
"Luke","C3PO","Endor","VI"
"Luke","R2D2","Endor","VI"
"C3PO","R2D2","Endor","VI"
"Leia","C3PO","Endor","VI"
"Leia","Luke","Endor","VI"
"Leia","Han","Endor","VI"
"Leia","R2D2","Endor","VI"
"Leia","Wicket","Endor","VI"
"Leia","Chewie","Endor","VI"
"C3PO","Luke","Endor","VI"
"C3PO","Han","Endor","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Wicket","Endor","VI"
"C3PO","Chewie","Endor","VI"
"Luke","Han","Endor","VI"
"Luke","R2D2","Endor","VI"
"Luke","Wicket","Endor","VI"
"Luke","Chewie","Endor","VI"
"Han","R2D2","Endor","VI"
"Han","Wicket","Endor","VI"
"Han","Chewie","Endor","VI"
"R2D2","Wicket","Endor","VI"
"R2D2","Chewie","Endor","VI"
"Wicket","Chewie","Endor","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Luke","Endor","VI"
"C3PO","Han","Endor","VI"
"C3PO","Wicket","Endor","VI"
"C3PO","Leia","Endor","VI"
"C3PO","Chewie","Endor","VI"
"R2D2","Luke","Endor","VI"
"R2D2","Han","Endor","VI"
"R2D2","Wicket","Endor","VI"
"R2D2","Leia","Endor","VI"
"R2D2","Chewie","Endor","VI"
"Luke","Han","Endor","VI"
"Luke","Wicket","Endor","VI"
"Luke","Leia","Endor","VI"
"Luke","Chewie","Endor","VI"
"Han","Wicket","Endor","VI"
"Han","Leia","Endor","VI"
"Han","Chewie","Endor","VI"
"Wicket","Leia","Endor","VI"
"Wicket","Chewie","Endor","VI"
"Leia","Chewie","Endor","VI"
"Leia","Luke","Endor","VI"
"Leia","Han","Endor","VI"
"Luke","Han","Endor","VI"
"Vader","Luke","Endor","VI"
"Leia","Han","Endor","VI"
"Leia","C3PO","Endor","VI"
"Leia","Wicket","Endor","VI"
"Han","C3PO","Endor","VI"
"Han","Wicket","Endor","VI"
"C3PO","Wicket","Endor","VI"
"Lando","NienNunb","ship","VI"
"Lando","Ackbar","ship","VI"
"NienNunb","Ackbar","ship","VI"
"Han","Leia","ship","VI"
"Han","Wicket","ship","VI"
"Han","C3PO","ship","VI"
"Han","R2D2","ship","VI"
"Leia","Wicket","ship","VI"
"Leia","C3PO","ship","VI"
"Leia","R2D2","ship","VI"
"Wicket","C3PO","ship","VI"
"Wicket","R2D2","ship","VI"
"C3PO","R2D2","ship","VI"
"Chewie","Leia","Endor","VI"
"Chewie","Han","Endor","VI"
"Leia","Han","Endor","VI"
"Emperor","Luke","DeathStar","VI"
"Emperor","Vader","DeathStar","VI"
"Luke","Vader","DeathStar","VI"
"Han","Leia","Endor","VI"
"Han","Chewie","Endor","VI"
"Han","C3PO","Endor","VI"
"Han","R2D2","Endor","VI"
"Han","Wicket","Endor","VI"
"Leia","Chewie","Endor","VI"
"Leia","C3PO","Endor","VI"
"Leia","R2D2","Endor","VI"
"Leia","Wicket","Endor","VI"
"Chewie","C3PO","Endor","VI"
"Chewie","R2D2","Endor","VI"
"Chewie","Wicket","Endor","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Wicket","Endor","VI"
"R2D2","Wicket","Endor","VI"
"Lando","NienNunb","ship","VI"
"Lando","Wedge","ship","VI"
"Lando","Ackbar","ship","VI"
"NienNunb","Wedge","ship","VI"
"NienNunb","Ackbar","ship","VI"
"Wedge","Ackbar","ship","VI"
"Emperor","Luke","DeathStar","VI"
"Han","Leia","Endor","VI"
"Han","R2D2","Endor","VI"
"Han","C3PO","Endor","VI"
"Han","Chewie","Endor","VI"
"Leia","R2D2","Endor","VI"
"Leia","C3PO","Endor","VI"
"Leia","Chewie","Endor","VI"
"R2D2","C3PO","Endor","VI"
"R2D2","Chewie","Endor","VI"
"C3PO","Chewie","Endor","VI"
"Lando","Wedge","ship","VI"
"Luke","Emperor","DeathStar","VI"
"Lando","Ackbar","ship","VI"
"C3PO","Leia","Endor","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Han","Endor","VI"
"Leia","R2D2","Endor","VI"
"Leia","Han","Endor","VI"
"R2D2","Han","Endor","VI"
"Lando","Ackbar","ship","VI"
"Luke","Emperor","DeathStar","VI"
"Luke","Vader","DeathStar","VI"
"Emperor","Vader","DeathStar","VI"
"Han","Chewie","Endor","VI"
"Han","Leia","Endor","VI"
"Han","C3PO","Endor","VI"
"Chewie","Leia","Endor","VI"
"Chewie","C3PO","Endor","VI"
"Leia","C3PO","Endor","VI"
"Emperor","Luke","DeathStar","VI"
"Emperor","Vader","DeathStar","VI"
"Luke","Vader","DeathStar","VI"
"Lando","NienNunb","ship","VI"
"Lando","Wedge","ship","VI"
"NienNunb","Wedge","ship","VI"
"Han","Chewie","Endor","VI"
"Han","Wicket","Endor","VI"
"Chewie","Wicket","Endor","VI"
"Vader","Luke","DeathStar","VI"
"Vader","Emperor","DeathStar","VI"
"Luke","Emperor","DeathStar","VI"
"Ackbar","Lando","ship","VI"
"Ackbar","NienNunb","ship","VI"
"Lando","NienNunb","ship","VI"
"Emperor","Luke","DeathStar","VI"
"Emperor","Vader","DeathStar","VI"
"Luke","Vader","DeathStar","VI"
"NienNunb","Lando","ship","VI"
"NienNunb","Wedge","ship","VI"
"Lando","Wedge","ship","VI"
"Ackbar","Piett","ship","VI"
"Luke","Vader","DeathStar","VI"
"Wedge","Lando","ship","VI"
"Wedge","NienNunb","ship","VI"
"Lando","NienNunb","ship","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Leia","Endor","VI"
"C3PO","Han","Endor","VI"
"C3PO","Wicket","Endor","VI"
"R2D2","Leia","Endor","VI"
"R2D2","Han","Endor","VI"
"R2D2","Wicket","Endor","VI"
"Leia","Han","Endor","VI"
"Leia","Wicket","Endor","VI"
"Han","Wicket","Endor","VI"
"Luke","Vader","DeathStar","VI"
"C3PO","Wicket","Endor","VI"
"C3PO","R2D2","Endor","VI"
"C3PO","Lando","Endor","VI"
"C3PO","Han","Endor","VI"
"C3PO","Han","Endor","VI"
"C3PO","Leia","Endor","VI"
"C3PO","Luke","Endor","VI"
"C3PO","Wedge","Endor","VI"
"C3PO","Chewie","Endor","VI"
"Wicket","R2D2","Endor","VI"
"Wicket","Lando","Endor","VI"
"Wicket","Han","Endor","VI"
"Wicket","Han","Endor","VI"
"Wicket","Leia","Endor","VI"
"Wicket","Luke","Endor","VI"
"Wicket","Wedge","Endor","VI"
"Wicket","Chewie","Endor","VI"
"R2D2","Lando","Endor","VI"
"R2D2","Han","Endor","VI"
"R2D2","Han","Endor","VI"
"R2D2","Leia","Endor","VI"
"R2D2","Luke","Endor","VI"
"R2D2","Wedge","Endor","VI"
"R2D2","Chewie","Endor","VI"
"Lando","Han","Endor","VI"
"Lando","Han","Endor","VI"
"Lando","Leia","Endor","VI"
"Lando","Luke","Endor","VI"
"Lando","Wedge","Endor","VI"
"Lando","Chewie","Endor","VI"
"Han","Han","Endor","VI"
"Han","Leia","Endor","VI"
"Han","Luke","Endor","VI"
"Han","Wedge","Endor","VI"
"Han","Chewie","Endor","VI"
"Han","Leia","Endor","VI"
"Han","Luke","Endor","VI"
"Han","Wedge","Endor","VI"
"Han","Chewie","Endor","VI"
"Leia","Luke","Endor","VI"
"Leia","Wedge","Endor","VI"
"Leia","Chewie","Endor","VI"
"Luke","Wedge","Endor","VI"
"Luke","Chewie","Endor","VI"
"Wedge","Chewie","Endor","VI"
"Vader","Obiwan","Endor","VI"
"Vader","Yoda","Endor","VI"
"Obiwan","Yoda","Endor","VI"
